City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
568,Yeppoon,AU,89.38,overcast clouds,-23.1333,150.7333,Villa Mar Colina
576,Passo De Camaragibe,BR,76.55,scattered clouds,-9.2368,-35.4901,Chácara vovó candinha
583,San Pedro,PH,80.02,overcast clouds,14.35,121.0167,Villa Veronica Resort Private Pool
589,Labuan,MY,87.96,broken clouds,5.2767,115.2417,Tiara Labuan Hotel
593,Pasighat,IN,87.85,few clouds,28.0667,95.3333,Siang Guest House
597,Cabedelo,BR,78.39,clear sky,-6.9811,-34.8339,Hotel Pigalle
600,Davila,PH,85.87,overcast clouds,18.4726,120.5763,Blue Ridge Beach Resort
604,Ciudad Bolivar,VE,79.95,overcast clouds,8.1222,-63.5497,Hotel Edi
607,Simplicio Mendes,BR,80.13,scattered clouds,-7.8539,-41.9103,Fidalgo
612,Cockburn Town,TC,82.56,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
616,Champerico,GT,83.35,few clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
620,Maues,BR,80.69,broken clouds,-3.3836,-57.7186,Hotel Miramar
621,Trairi,BR,79.02,few clouds,-3.2778,-39.2689,janelas do mar
627,Lorengau,PG,86.63,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
628,Mahina,PF,83.97,broken clouds,-17.5065,-149.489,Guest Beach Bungalow Tahiti
629,Andros Town,BS,81.75,clear sky,24.7,-77.7667,Hanks place
630,Umm Kaddadah,SD,82.96,broken clouds,13.6017,26.6876,
634,Juegang,CN,80.91,light rain,32.3174,121.1855,Rudong Y Hotel
636,Ibra,OM,78.3,clear sky,22.6906,58.5334,مزرعة راحة النفوس المنزفة
637,Damietta,EG,75.18,scattered clouds,31.4165,31.8133,SULIMAN INN
639,Jardim,BR,79.56,scattered clouds,-21.4803,-56.1381,Estancia Hotel - Jardim MS
641,Aswan,EG,83.28,clear sky,24.0934,32.907,Nuba Nile
645,Porto Novo,BJ,76.8,light rain,6.4965,2.6036,Tour Eiffel Hotel Benin
646,Mayor Pablo Lagerenza,PY,88.66,overcast clouds,-19.9309,-60.7718,
650,Tecoanapa,MX,81.19,few clouds,16.5167,-98.75,Hotel Manglares
651,Buchanan,LR,75.18,heavy intensity rain,5.8808,-10.0467,Kamaneahn Hotel Inc
654,Renala Khurd,PK,78.73,clear sky,30.8833,73.6,ch usman munir home
661,Kismayo,SO,78.73,broken clouds,-0.3582,42.5454,Agan-Hotel
664,Thiruvananthapuram,IN,82.38,haze,8.4833,76.9167,Hotel Residency Tower
665,Eyl,SO,78.15,overcast clouds,7.9803,49.8164,Amiin Hotel
670,Puri,IN,84.38,overcast clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
674,Saint-Louis,SN,80.58,few clouds,16.3333,-15.0,
677,Pandan,PH,84.6,scattered clouds,14.0453,124.1694,Bonifacio Lodge
680,Destin,US,79.05,overcast clouds,30.3935,-86.4958,Inn On Destin Harbor-Ascend Hotel Collection
681,Tutoia,BR,80.04,scattered clouds,-2.7619,-42.2744,Pousada Guará's
686,Santa Cruz De Tenerife,ES,75.63,few clouds,28.4682,-16.2546,Hotel Silken Atlántida Santa Cruz
690,Mubi,NG,76.19,overcast clouds,10.2676,13.2644,Hotel
693,Frontera,MX,79.95,clear sky,26.9333,-101.45,Casagrande Hotel
694,Mehran,IR,83.89,clear sky,33.1222,46.1646,بوتیک زنانه بهار
696,Dicabisagan,PH,81.57,scattered clouds,17.0818,122.4157,Nancy Montanes Bernardo
704,Hambantota,LK,80.94,few clouds,6.1241,81.1185,Bungalow 63
705,Tessalit,ML,80.73,scattered clouds,20.1986,1.0114,
706,Boke,GN,75.87,overcast clouds,10.9409,-14.2967,Hôtel Rio Nunez - Boké
