City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
151,Cidreira,BR,2021-09-27 14:45:56,-30.1811,-50.2056,72.68,73,3,8.95
152,Cherskiy,RU,2021-09-27 14:43:50,68.75,161.3,13.3,96,85,8.52
153,Vila Velha,BR,2021-09-27 14:42:08,-20.3297,-40.2925,82.35,63,75,14.97
154,Podlesnoye,RU,2021-09-27 14:45:57,51.8161,47.009,50.61,82,99,13.85
155,Burnie,AU,2021-09-27 14:45:57,-41.0667,145.9167,44.65,84,36,5.23
156,Beaverlodge,CA,2021-09-27 14:43:18,55.2166,-119.4361,45.75,98,100,4.88
157,Varhaug,NO,2021-09-27 14:45:58,58.6147,5.6457,67.55,88,100,30.53
158,Warmbad,NA,2021-09-27 14:45:58,-28.45,18.7333,76.33,31,0,20.87
159,Kiruna,SE,2021-09-27 14:41:12,67.8557,20.2251,56.32,62,20,5.75
160,Bonthe,SL,2021-09-27 14:45:59,7.5264,-12.505,79.02,79,100,13.73
161,Seymchan,RU,2021-09-27 14:41:32,62.8833,152.4333,33.31,86,100,8.61
162,Souillac,MU,2021-09-27 14:42:21,-20.5167,57.5167,73.78,73,40,12.66
163,Zhigansk,RU,2021-09-27 14:42:34,66.7697,123.3711,34.65,85,14,25.77
164,Gorin,RU,2021-09-27 14:46:00,51.1983,136.6669,55.09,94,100,5.12
165,Georgetown,MY,2021-09-27 14:41:18,5.4112,100.3354,84.13,87,20,1.01
166,Yeniseysk,RU,2021-09-27 14:46:01,58.4497,92.1703,36.64,85,100,3.33
167,Isiolo,KE,2021-09-27 14:46:02,0.3546,37.5822,83.08,34,80,13.38
168,Yumen,CN,2021-09-27 14:46:02,40.2833,97.2,65.82,18,0,14.45
169,Walvis Bay,NA,2021-09-27 14:43:25,-22.9575,14.5053,65.35,59,0,16.11
170,Bougouni,ML,2021-09-27 14:46:03,11.417,-7.479,90.79,45,50,2.8
171,Aklavik,CA,2021-09-27 14:41:08,68.2191,-135.0107,25.52,88,16,6.53
172,Fuerte Olimpo,PY,2021-09-27 14:46:04,-21.0415,-57.8738,101.48,25,0,10.25
173,Emerald,AU,2021-09-27 14:46:04,-23.5333,148.1667,68.14,51,67,13.8
174,Hithadhoo,MV,2021-09-27 14:42:08,-0.6,73.0833,83.21,74,100,14.88
175,Saurimo,AO,2021-09-27 14:46:05,-9.6608,20.3916,86.32,51,75,0.0
176,Willmar,US,2021-09-27 14:46:05,45.1219,-95.0433,64.35,63,1,11.5
177,Sawtell,AU,2021-09-27 14:46:06,-30.3833,153.1,59.02,82,75,6.91
178,Kaniama,CD,2021-09-27 14:46:06,-7.5667,24.1833,84.61,43,90,6.62
179,Masterton,NZ,2021-09-27 14:46:07,-40.9597,175.6575,47.77,98,100,6.96
180,Balikpapan,ID,2021-09-27 14:46:07,-1.2675,116.8289,78.44,84,100,5.7
181,Katsuura,JP,2021-09-27 14:41:52,35.1333,140.3,69.19,78,84,12.35
182,Mehamn,NO,2021-09-27 14:46:08,71.0357,27.8492,51.71,87,95,8.41
183,Sterling,US,2021-09-27 14:46:09,39.0062,-77.4286,75.7,59,20,0.0
184,Fortuna,US,2021-09-27 14:43:29,40.5982,-124.1573,63.93,66,75,7.0
185,Laguna,US,2021-09-27 14:46:09,38.421,-121.4238,62.26,90,1,1.99
186,Awjilah,LY,2021-09-27 14:46:10,29.1081,21.2869,88.3,20,0,9.8
187,Alyangula,AU,2021-09-27 14:46:10,-13.8483,136.4192,75.07,94,60,3.44
188,Kula,TR,2021-09-27 14:46:11,38.5473,28.6498,79.54,22,0,11.86
189,Kenai,US,2021-09-27 14:42:40,60.5544,-151.2583,21.25,100,1,0.0
190,Turbat,PK,2021-09-27 14:46:12,26.0023,63.044,91.35,43,34,10.96
191,Puerto Escondido,MX,2021-09-27 14:42:09,15.85,-97.0667,83.8,65,54,2.71
192,Weatherford,US,2021-09-27 14:46:12,32.7593,-97.7972,77.79,67,52,1.01
193,Brae,GB,2021-09-27 14:46:13,60.3964,-1.353,57.11,95,100,31.68
194,Cache Creek,CA,2021-09-27 14:46:13,50.8101,-121.3246,61.25,91,29,4.97
195,Charyshskoye,RU,2021-09-27 14:46:14,51.3978,83.5598,36.61,58,100,3.58
196,Byron Bay,AU,2021-09-27 14:46:15,-28.65,153.6167,62.87,57,87,4.16
197,Saint-Pierre,RE,2021-09-27 14:46:15,-21.3393,55.4781,74.88,73,0,12.66
198,Prince George,CA,2021-09-27 14:46:16,53.9166,-122.753,55.26,78,20,12.66
199,Grindavik,IS,2021-09-27 14:41:33,63.8424,-22.4338,39.15,75,75,36.82
200,Samarai,PG,2021-09-27 14:46:17,-10.6167,150.6667,78.62,86,100,15.21
